state_name,active,cured,death,lat,long
Andaman and Nicobar Islands,11,7629,7489,11.7400867,92.6586401
Andhra Pradesh,8550,2055306,2032520,16¡00' N,80¡00' E
Arunachal Pradesh,419,54844,54146,28¡ 00' N,95¡ 00' E
Assam,4144,604218,594163,26.2006043,92.9375739
Bihar,32,725979,716286,25¡ 11' N,85¡ 32' E
Chandigarh,40,65268,64408,30¡ 44' 14 N,76¡ 47' 14 E
Chhattisgarh,215,1005464,991681,21¡ 30' N,82¡ 0' E
Dadra and Nagar Haveli and Daman and Diu,2,10672,10666,30¡ 42' N,76¡ 54' E
Delhi,383,1439097,1413626,28.38 N,77.12 E
Goa,779,176924,172822,28¡ 38' N,72ç 12' E
Gujarat,179,826080,815816,23.00 N,72.00 E
Haryana,273,770961,760813,30.30 N,74.60 E
Himachal Pradesh,1404,220061,214963,32¡ 29' N,75¡ 10' E
Jammu and Kashmir,1090,330252,324736,32¡ 44' N,74¡ 54' E
Jharkhand,101,348314,343078,23¡ 45' N,85¡ 30' E
Karnataka,11648,2979773,2930264,15¡ 00' N,75¡ 00' E
Kerala,119335,4763695,4618408,10¡ 00' N,76¡ 25' E
Ladakh,57,20843,20578,34.2268¡ N,77.5619¡  E
Lakshadweep,3,10364,10310,10¡ 00' N,73¡ 00' E
Madhya Pradesh,114,792600,781964,23¡ 30' N,80¡ 00' E
Maharashtra,36986,6570472,6394075,20" 00' N,76" 00' E
Manipur,1752,121578,117950,24¡ 44' N,93¡ 58' E
Meghalaya,1281,82162,79468,25¡ 30' N,91¡ 00' E
Mizoram,16219,103709,87148,23¡ 30' N,20¡ 52' E
Nagaland,313,31397,30416,26¡ 00' N,94¡ 20' E
Odisha,4644,1029994,1017116,20.9517¡ N,85.0985¡ E
Puducherry,655,126806,124307,11¡ 56' N,79¡ 53' E
Punjab,259,601805,585020,30¡ 4' N,75¡ 5' E
Rajasthan,45,954349,945350,27¡ 00' N,74¡ 00' E
Sikkim,367,31603,30848,27.5330¡ N,88.5122¡ E
Tamil Nadu,16513,2674233,2621986,11¡ 00' N,78¡ 00' E
Telangana,4365,667334,659043,18.1124¡ N,79.0193¡ E
Tripura,142,84223,83266,23¡ 45' N ,91¡ 30' E
Uttarakhand,156,343626,336074,30¡ 15' N,79¡ 15' E
Uttar Pradesh,152,1709917,1686869,27¡ 40' N,80¡ 00' E
West Bengal,7593,1574017,1547548,23¡ 00' N,87¡ 00' E
